Price,Close,High,Low,Open,Volume
Ticker,CVX,CVX,CVX,CVX,CVX
Date,,,,,
2024-10-25,144.26670837402344,145.51986823620632,143.9319028044515,144.82154529711704,6839900
2024-10-28,144.00839233398438,144.1614537872563,141.73166525272475,141.81775684641138,8892000
2024-10-29,142.0760498046875,143.89360716867938,141.45424310887893,143.5300898571834,6014700
2024-10-30,141.62644958496094,143.1570204599095,141.25337138328808,142.61175905596218,5784000
2024-10-31,142.363037109375,143.08049627196877,141.47338015745183,142.3056281151025,8400900
2024-11-01,146.42864990234375,149.16454703262053,145.11808114224996,145.86423755900637,11728000
2024-11-04,147.28961181640625,147.7200844753637,145.9981792427871,147.7200844753637,6130000
2024-11-05,146.75390625,147.9592325736926,145.9312190331712,147.8253074266156,5978900
2024-11-06,150.8768768310547,151.72826110224676,149.3462914776393,150.2837819400595,12118900
2024-11-07,149.96810913085938,151.15429899959702,149.61415266640995,151.08734373123835,8143200
2024-11-08,150.12115478515625,150.74296151149807,148.91582859375092,149.8054855848495,6041500
2024-11-11,149.70982360839844,151.0873476435332,149.13585039484389,150.3220548910422,7771700
2024-11-12,148.55230712890625,150.63772938559367,148.3896848010272,150.4751070577146,5681900
2024-11-13,151.83349609375,152.12048268546405,147.8252884675704,149.2984794932219,8824000
2024-11-14,154.77987670898438,154.8085739109214,152.75184865937763,152.90491013420564,10111200
2024-11-15,154.41635131835938,155.33470552278297,153.78498371511472,154.51201838433397,9022800
2024-11-18,155.35372924804688,156.08818032660645,153.72057535297247,155.16045808103195,6075400
2024-11-19,154.2327423095703,155.03481687238468,153.4113214617537,154.59995308351168,4657400
2024-11-20,155.90455627441406,156.01085762042615,154.40667903356862,154.53231191857668,6391300
2024-11-21,156.19448852539062,157.18017594405714,155.8659113068563,156.57137247856207,7945200
2024-11-22,156.89993286132812,157.14152551387724,155.73061793490643,156.07851194440298,7005900
2024-11-25,154.96717834472656,157.68267716708522,154.45500314491878,156.69697510047752,10702400
2024-11-26,157.06419372558594,157.46040916333533,155.9721903590817,156.851591039264,7369500
2024-11-27,156.65830993652344,159.1418742570752,156.17512472479467,157.28644481351384,7674500
2024-11-29,156.48435974121094,157.27679058736305,155.25707988774536,156.7936053628243,5077000
2024-12-02,156.7549591064453,157.4700638110104,154.72557523828144,156.83225576722828,6229600
2024-12-03,156.4747314453125,157.711684678426,155.96255618842858,157.4990819590803,5900100
2024-12-04,152.99578857421875,156.39740220487283,152.55125164469843,156.38774380805603,7862700
2024-12-05,153.97181701660156,155.26674997693243,153.35334047244027,153.93315393816675,6358400
2024-12-06,150.0193634033203,153.48862999809842,149.95171038965606,153.41131858775805,9701700
2024-12-09,151.79750061035156,154.6966125057082,151.54624955451973,151.72018919033124,9404500
2024-12-10,151.7201690673828,154.15542686527007,151.4302549671699,153.71088994552449,9126200
2024-12-11,150.9567413330078,151.88444874954723,150.56052589157326,151.58487625575546,13764700
2024-12-12,149.5072021484375,151.26598897428255,149.08199672475217,150.62818083875456,7621500
2024-12-13,148.6954345703125,149.74878969605697,147.92234991247628,149.66180513825245,5816200
2024-12-16,144.3371124267578,148.71477003541168,144.23081107165308,148.71477003541168,11961200
2024-12-17,143.129150390625,143.6509840273972,141.96950861785166,143.0228490346248,11909300
2024-12-18,139.2346649169922,143.67030202106304,139.13802196768836,142.79090131758716,10174500
2024-12-19,136.4031982421875,139.89179654329212,136.20992707988822,139.7081985237767,16544300
2024-12-20,138.04605102539062,138.04605102539062,135.8233956170917,136.08431981716635,32209200
2024-12-23,138.1619873046875,138.52921280197074,136.78006986456163,137.6884604658561,8156500
2024-12-24,139.00274658203125,139.19601775709708,137.47587923141393,138.28764175972316,3556100
2024-12-26,139.13803100585938,139.4569350645049,138.09434901728622,138.83845848745912,4492600
2024-12-27,139.15736389160156,140.80986407589808,138.56787724640162,139.43760487246618,5296500
2024-12-30,138.25863647460938,139.13802243539752,137.56284852508563,138.95440967848933,6194800
2024-12-31,139.9691162109375,140.4523015180001,138.50024349433187,138.69351466802783,6137800
2025-01-02,141.77622985839844,143.0904943960371,140.58758346520372,140.58758346520372,7170300
2025-01-03,142.8778839111328,143.50601883606353,142.3463771885372,142.57829667065633,5809000
2025-01-06,142.30772399902344,145.27448870951392,141.93084006874935,143.40938585256652,5888700
2025-01-07,144.55935668945312,145.4387573659692,142.66527880457286,143.51567480067195,7736000
2025-01-08,145.24549865722656,146.0958947261505,143.05183334908892,143.0614917462928,7640900
2025-01-10,147.98997497558594,149.14961660448063,145.79630985337832,148.25089913442133,11074700
2025-01-13,150.12567138671875,152.05841249374754,148.82106524121656,148.91770819482576,11774100
2025-01-14,151.62353515625,151.63320829907465,149.26560337322877,149.9903812941394,6830200
2025-01-15,153.0054473876953,153.35334136741912,151.12102780820967,151.60421307195696,7900000
2025-01-16,154.02012634277344,154.5226283576371,152.71552034291872,152.71552034291872,5578900
2025-01-17,156.0398406982422,156.32975478786489,153.45963331732216,153.7785373413428,9260400
2025-01-21,152.91848754882812,155.97220740811147,152.19370960595467,155.730614760487,10131400
2025-01-22,151.15000915527344,153.11174003496043,151.0147178789379,152.37728903858758,7232200
2025-01-23,150.7634735107422,152.62857645519722,150.3865895627853,152.3290039254937,5979800
2025-01-24,150.4155731201172,152.1743746330632,150.04836233104902,151.19834566710685,8003800
2025-01-27,151.9424285888672,152.58023665363507,150.28994330227457,151.07270104283356,7141000
2025-01-28,150.9567413330078,153.57559711379164,149.9613661583462,152.40629707378872,6425400
2025-01-29,150.45423889160156,151.3143081233041,149.60382805732672,150.4832288295296,5630600
2025-01-30,151.06304931640625,152.1550379954167,150.28994993821652,151.29496880791226,6931900
2025-01-31,144.17282104492188,149.17861328862617,143.65097270364092,148.58912667830154,16726800
2025-02-03,144.31776428222656,145.78665154404672,142.82956022762437,143.9892018572115,7605000
2025-02-04,148.06729125976562,148.2315724775852,143.71862394896735,143.71862394896735,8458100
2025-02-05,147.8450469970703,148.62780484279872,147.16857576410678,147.8450469970703,6533700
2025-02-06,146.7916717529297,150.03867719402592,145.9799240790665,149.03365837100154,6420500
2025-02-07,147.4874725341797,148.6374558784836,146.811016080367,147.35218124341716,4724900
2025-02-10,150.5315399169922,150.56052985291907,148.87903984094044,149.1013009315945,5653800
2025-02-11,152.1453857421875,153.37268050166077,150.86976950481787,151.09204535401227,6011800
2025-02-12,149.6907958984375,152.17437534960396,149.3719065854318,151.47858735721113,6693500
2025-02-13,150.63784790039062,151.15968151570812,148.1639416213478,149.57483438409352,7836400
2025-02-14,151.78103637695312,153.84269523458917,151.33158368336328,151.52699854619357,5828800
2025-02-18,152.58226013183594,153.70590680030728,151.23387220231137,151.78103979423477,5981500
2025-02-19,153.6277313232422,154.73184689436704,152.4259157772661,152.9340063377658,4945800
2025-02-20,155.15199279785156,155.30833065338942,153.47141303301444,153.8915542469241,6256200
2025-02-21,153.3248291015625,155.3083189023779,153.22712913114245,154.50711354446497,6689800
2025-02-24,154.27261352539062,154.7025351597924,153.15873243134874,153.49093918185991,5925000
2025-02-25,152.83628845214844,155.3474148127573,151.89829118416836,154.37032562824604,6810900
2025-02-26,151.5856170654297,153.1001082990147,150.86256569405933,153.0317048989725,6005200
2025-02-27,153.08056640625,154.6634461727194,151.26317985951917,152.1230231446128,7517200
2025-02-28,154.9858856201172,155.03474306242558,151.37065852726937,153.10987612722099,8828500
2025-03-03,149.5825958251953,156.422220855072,148.28306528041483,155.80666474063867,9059800
2025-03-04,148.51756286621094,150.61829874570495,146.61224185075383,147.7456689350457,8826300
2025-03-05,147.35482788085938,147.90199547714704,144.3551716264971,146.70994539557802,9288300
2025-03-06,149.44580078125,149.81709947458646,146.04553429812353,147.06170057830877,7314700
2025-03-07,152.7581329345703,153.8427026209292,150.18839829203634,150.42289017501184,8562600
2025-03-10,153.95994567871094,156.69578339190917,152.59201191291447,153.58864702797803,11750300
2025-03-11,150.54989624023438,155.20083517190696,150.26653204093586,154.8002250469385,10466300
2025-03-12,149.17221069335938,151.24363508638277,148.73252352247025,150.11998843753292,9710200
2025-03-13,150.09066772460938,150.89187308975622,148.43938464486834,148.77159138385122,9022800
2025-03-14,153.42254638671875,153.63750719788962,149.50440925426614,150.46196738009908,6671500
2025-03-17,155.08358764648438,155.79685853561412,153.16848639484658,153.61795395394014,7615200
2025-03-18,157.12570190429688,157.39928567021502,155.18130406146412,156.08022427936618,9289500
2025-03-19,160.29148864746094,160.77025282075942,157.21364867575056,157.2820520771922,11503900
2025-03-20,160.9949951171875,161.52261673647513,158.68906395928187,159.39256939113093,9545900
2025-03-21,160.97544860839844,161.11224050250198,159.37302288781478,160.7214107791199,21625500
2025-03-24,161.23927307128906,162.61695759016078,160.55531357447353,160.91683182796197,8068000
2025-03-25,162.13818359375,163.97511605344567,161.32719777184602,162.27497548484237,7869200
2025-03-26,164.12167358398438,165.08899725615564,163.41816816953218,163.53541410220822,10076100
2025-03-27,162.8319091796875,164.36594637975742,162.05024974722176,163.4181686632348,6862700
2025-03-28,162.2847442626953,163.30092539620745,161.51285034231438,162.88076928065968,4923000
2025-03-31,163.45724487304688,165.04990503185525,162.3238327378266,162.38245570405547,10675300
2025-04-01,164.64930725097656,164.73725661612394,162.35315641575315,163.45725715079115,6378600
2025-04-02,162.6560516357422,164.13145106310188,162.05026106052944,163.56473749856133,7044900
2025-04-03,152.54315185546875,157.65333879529265,152.23049108326757,156.45150841776473,15501000
2025-04-04,139.99734497070312,148.96703193747558,139.4794888667708,148.28305754281905,20374700
2025-04-07,136.9390411376953,142.84066807045136,134.14456551664009,135.55157630615005,17817000
2025-04-08,133.79281616210938,141.179622991598,131.78001480818017,140.84740133468705,12904400
2025-04-09,142.68434143066406,144.09135233067187,130.8127130529458,131.92659419725223,16846800
2025-04-10,131.8874969482422,140.33932753187315,130.39255165469925,139.93871737891118,20991200
2025-04-11,132.52261352539062,133.97846689763884,129.0148519516185,131.91680808058314,17224400
2025-04-14,132.2197265625,135.3659402809142,131.02767646586648,135.30731731045665,9628200
2025-04-15,131.45758056640625,133.49970842106524,131.1742312451792,131.24263464879874,9334800
2025-04-16,132.2587890625,134.39861670462665,131.71162151932919,132.29786606878474,8637200
2025-04-17,134.71128845214844,137.0270000841202,133.32382352349794,133.55833030789466,8434400
2025-04-21,130.6661376953125,133.1674837222158,129.29821874597425,132.90368036647092,9967500
2025-04-22,134.1543426513672,135.07280883355656,131.8484116717503,132.16107244551003,7984700
2025-04-23,133.54855346679688,135.3757205290016,132.05360808539237,134.0664244932563,10002000
2025-04-24,135.88380432128906,136.20623064222724,134.07618330939653,134.76014277823217,7745800
2025-04-25,135.5515899658203,135.86426568797452,134.10550202385465,135.1607602223266,6878500
2025-04-28,136.89019775390625,137.2419504490927,135.50271802180592,135.7860822283381,6715500
2025-04-29,136.1085205078125,136.80224544971338,135.3952496084899,135.5124955346259,7343800
2025-04-30,132.9427490234375,134.98486179422775,131.0667396211175,134.83830438357674,13858000
2025-05-01,133.13816833496094,134.78945145987808,132.02428724909936,132.3174169894204,10199800
2025-05-02,135.3268585205078,136.57753154370153,132.19039552832453,134.72106796811042,12393200
2025-05-05,132.3955841064453,133.8612178788414,132.08290841191925,133.63649154164935,9665000
2025-05-06,132.49330139160156,134.16411557328954,131.9461189162555,133.2261182910923,9916200
2025-05-07,132.67893981933594,133.17726486791332,131.53574721073832,132.95253851986382,8422100
2025-05-08,133.90029907226562,135.70792007841263,133.3433659741262,133.5583267935339,8669300
2025-05-09,135.3170928955078,136.17692128006902,134.54518405428306,135.71768814901088,5965700
2025-05-12,138.3753662109375,140.41749394746472,137.34943448958109,139.18635202712048,8028200
2025-05-13,139.08865356445312,139.94848192207962,137.6914082558633,138.28743326414883,8536800
2025-05-14,138.42422485351562,138.97139241877358,137.50575862217636,138.51215930310394,6453600
2025-05-15,139.00071716308594,139.19614694863523,136.3137216129763,136.79250073285309,7545400
2025-05-16,138.84437561035156,139.7237498907402,137.47644184072797,139.4306201608782,8200100
2025-05-19,136.96530151367188,137.9839605343192,135.61037424975643,137.93450799053292,7713600
2025-05-20,135.75872802734375,137.22242971892237,135.5213648783862,136.76748745611968,6503900
2025-05-21,134.0675506591797,135.62027299811305,133.99832917093292,135.11587818164034,9073200
2025-05-22,133.80052185058594,134.4928272926039,132.2972671138788,133.50383676491865,8877600
2025-05-23,135.03675842285156,135.2840060518665,132.58406616844664,132.9104348496421,7025900
2025-05-27,136.31256103515625,136.45101910011172,134.90819635038008,135.86751833285632,8348900
2025-05-28,134.52249145507812,137.2619842628855,134.1664542729822,137.2520997906152,6876300
2025-05-29,136.3916778564453,136.42134636295896,134.60160753973705,134.99719768711682,7554300
2025-05-30,135.1949920654297,135.93673490604922,133.72140594684208,135.37301819439267,12858900
2025-06-02,136.32244873046875,137.16309670308655,134.92796848493467,136.96530161858755,9076600
2025-06-03,138.0136260986328,139.04216956977976,135.0961071670438,136.13453511041814,9001300
2025-06-04,135.8576202392578,139.0817389293453,135.81806725918443,137.8850537836606,8735600
2025-06-05,135.39279174804688,136.76748792250314,135.19499666863967,136.6290298578384,6342600
2025-06-06,138.66636657714844,139.06195674634168,136.5696964261909,136.5696964261909,6563500
2025-06-09,139.21029663085938,140.57510834289047,138.15208464852017,139.00261707777477,7159500
2025-06-10,141.77178955078125,143.34428077229654,140.34764086307044,140.65422549346434,9841500
2025-06-11,143.18603515625,143.5222882851398,141.03992770544627,142.60253441656533,9256700
2025-06-12,143.3739471435547,143.60141072226588,141.8508933954616,142.9091204234948,6999400
2025-06-13,144.30360412597656,145.97500044669334,142.94867691069652,145.46072117321194,14148000
2025-06-16,144.4222869873047,145.25303541703298,142.1575052963268,144.125586807888,10105100
2025-06-17,147.21124267578125,148.3287916844628,144.88710895318252,145.70797288306213,11330300
2025-06-18,146.55850219726562,148.51669912961165,146.07389142755494,147.79474030191793,9841900
2025-06-20,147.90353393554688,148.2496715599121,146.2716905379477,146.884874916499,23705900
2025-06-23,145.24314880371094,150.47490203015252,144.70910056127028,150.4452335217279,10540600
2025-06-24,141.96958923339844,144.77831863042474,141.5838835421927,142.94868016987596,10778400
2025-06-25,141.65310668945312,142.61242869255182,140.94103231414692,141.83113282867848,7386100
2025-06-26,142.84979248046875,143.4827458067884,141.8212338934508,142.1179340662751,7415700
2025-06-27,142.20693969726562,143.07725618065533,141.00038515092672,142.9585821477559,9213500
2025-06-30,141.61355590820312,142.5135409091359,140.8322449413985,141.4651982747451,6980300
2025-07-01,143.96734619140625,144.65963648411784,140.9410227561872,141.76188663568686,8508200
2025-07-02,146.35081481933594,146.3804833280563,143.86845401467798,145.39149279524943,8228700
2025-07-03,146.73651123046875,147.339796020906,145.73763628828124,146.21234748854098,5173300
2025-07-07,145.77719116210938,146.53871805946468,143.9772363302117,145.77719116210938,9460900
2025-07-08,151.5529022216797,151.5529022216797,145.63872845629186,145.69808055965152,14082100
2025-07-09,151.3353271484375,152.2649806121588,150.80126383954362,151.25620609931258,9495900
2025-07-10,152.47265625,153.57043625589947,150.0100645906048,151.10784459650426,8395100
2025-07-11,153.60011291503906,154.17372921882736,151.87927909447168,152.5913383745288,8333200
2025-07-14,149.98040771484375,153.19462693470052,149.47602797764577,153.19462693470052,10706300
2025-07-15,149.03097534179688,150.63313506342325,148.5958171233806,149.93096028526716,7346300
2025-07-16,148.2694549560547,149.81227773200496,147.5771646195126,149.1002033599052,7923400
2025-07-17,149.71337890625,150.16830606166303,146.96398666699108,147.5178189035617,8359600
2025-07-18,148.38812255859375,154.19350684323254,144.91677146310886,153.31330593402316,45782600
2025-07-21,148.03208923339844,150.00018574030508,147.48815653677957,149.53535900294924,17982200
2025-07-22,148.38812255859375,149.2782230305518,146.84529984948935,147.61671120404156,26196500
2025-07-23,151.43421936035156,151.4540033956219,148.81340059192956,149.24855882309336,13162800
2025-07-24,154.11439514160156,154.28252171975942,150.52435471099034,151.0089655003614,15701000
2025-07-25,153.13528442382812,154.48031209890178,152.264983051108,154.11439044528527,7875500
2025-07-28,154.55943298339844,154.82646464183603,153.24407381728406,153.68911652081513,8755400
2025-07-29,155.30117797851562,155.4792041168431,153.73857116785217,154.95502526503287,6446000
2025-07-30,151.86936950683594,154.5890932160294,151.0188371250563,154.42096665217483,9191700
2025-07-31,149.97052001953125,152.23530164275,149.4760247655641,150.32655720601952,10237100
2025-08-01,149.733154296875,152.9473733925347,148.694726353992,150.86060285295144,10706500
2025-08-04,149.3771209716797,150.40567955968274,148.17056642508783,149.58481562009493,10116600
2025-08-05,151.3551025390625,151.41445464653188,148.24967290993106,149.36723702657315,8604100
2025-08-06,151.09796142578125,153.45176355203904,150.54412918214337,152.77924219133817,7840900
2025-08-07,151.47378540039062,153.44186679568486,151.14741673139275,152.09683914048014,6510400
2025-08-08,153.30340576171875,154.03526413475694,151.81003559990492,152.29464635795955,6332800
2025-08-11,151.76058959960938,154.21328182053387,151.30566241927855,153.6297810458151,6169700
2025-08-12,152.7397003173828,154.33197567900228,151.6715887309426,152.3935475945446,6641600
2025-08-13,154.15394592285156,154.2924039905821,152.50233358249503,152.8682703328382,6581900
2025-08-14,153.45176696777344,153.98581518865558,152.4034394702957,153.98581518865558,7337300
2025-08-15,154.8264617919922,156.7945431780209,153.58032413608566,153.7682347407571,11617000
2025-08-18,153.61001586914062,154.76713297462337,153.04628402527072,154.41109578133654,8174300
2025-08-19,152.0,153.94000244140625,151.85000610351562,153.4600067138672,8567500
2025-08-20,153.22000122070312,153.49000549316406,151.92999267578125,152.4199981689453,8076300
2025-08-21,155.5500030517578,155.6699981689453,152.72999572753906,152.82000732421875,7533600
2025-08-22,158.17999267578125,158.7899932861328,155.32000732421875,155.32000732421875,9084300
2025-08-25,158.1999969482422,158.32000732421875,157.1699981689453,157.89999389648438,7030000
2025-08-26,157.36000061035156,160.0,156.5500030517578,157.50999450683594,10270000
2025-08-27,159.24000549316406,159.99000549316406,157.2100067138672,157.39999389648438,7483000
2025-08-28,159.32000732421875,159.52000427246094,157.85000610351562,159.00999450683594,6502000
2025-08-29,160.60000610351562,161.10000610351562,159.4499969482422,159.6999969482422,6934800
2025-09-02,161.8300018310547,161.86000061035156,159.3800048828125,160.47999572753906,8947300
2025-09-03,158.05999755859375,161.85000610351562,157.02000427246094,160.0,9556100
2025-09-04,157.69000244140625,159.64999389648438,157.5,158.05999755859375,7243000
2025-09-05,153.66000366210938,156.72000122070312,153.49000549316406,156.05999755859375,11011700
2025-09-08,154.0,155.02999877929688,152.8800048828125,153.91000366210938,9462000
2025-09-09,154.85000610351562,156.99000549316406,154.60000610351562,154.91000366210938,7769200
2025-09-10,157.7899932861328,157.9199981689453,155.0,155.0500030517578,7440800
2025-09-11,158.25,158.9199981689453,156.00999450683594,156.5,6417400
2025-09-12,157.11000061035156,159.77999877929688,157.10000610351562,158.85000610351562,5546300
2025-09-15,157.30999755859375,158.32000732421875,156.5,157.3800048828125,5030500
2025-09-16,159.5399932861328,160.10000610351562,158.1199951171875,158.25,8011000
2025-09-17,160.08999633789062,160.6699981689453,158.61000061035156,159.1999969482422,5736800
2025-09-18,158.83999633789062,160.2899932861328,158.08999633789062,160.02999877929688,6244200
2025-09-19,156.2100067138672,159.0,155.5500030517578,159.0,16734000
2025-09-22,156.0500030517578,157.1199951171875,155.14999389648438,155.6199951171875,5244000
2025-09-23,157.4199981689453,159.8300018310547,156.99000549316406,157.1199951171875,7181400
2025-09-24,159.17999267578125,160.49000549316406,158.25,158.32000732421875,6285200
2025-09-25,160.72000122070312,161.00999450683594,159.35000610351562,159.44000244140625,6311000
2025-09-26,160.16000366210938,161.3000030517578,159.50999450683594,160.57000732421875,7015200
2025-09-29,156.10000610351562,159.1300048828125,155.55999755859375,159.1300048828125,8315100
2025-09-30,155.2899932861328,155.72999572753906,153.92999267578125,154.88999938964844,7755700
2025-10-01,154.5800018310547,155.08999633789062,153.19000244140625,154.8300018310547,6768400
2025-10-02,153.3699951171875,156.60000610351562,153.32000732421875,153.9600067138672,7562400
2025-10-03,153.5500030517578,154.27999877929688,152.22999572753906,153.5800018310547,7249300
2025-10-06,154.02000427246094,154.64999389648438,152.9199981689453,153.97000122070312,4778900
2025-10-07,154.91000366210938,154.9600067138672,151.27999877929688,153.64999389648438,5479600
2025-10-08,153.74000549316406,154.67999267578125,152.83999633789062,154.36000061035156,5678000
2025-10-09,151.63999938964844,154.97000122070312,151.55999755859375,154.1300048828125,6178600
2025-10-10,148.89999389648438,151.35000610351562,148.88999938964844,150.6999969482422,7796600
2025-10-13,151.94000244140625,151.97999572753906,149.42999267578125,150.0,5978800
2025-10-14,152.38999938964844,153.4600067138672,149.66000366210938,149.80999755859375,6419400
2025-10-15,152.11000061035156,154.2100067138672,151.0399932861328,152.89999389648438,5824900
2025-10-16,151.7100067138672,152.72999572753906,150.22999572753906,152.13999938964844,5276800
2025-10-17,153.0800018310547,154.19000244140625,152.1999969482422,152.25999450683594,7735500
2025-10-20,154.47999572753906,154.72000122070312,153.17999267578125,153.42999267578125,5676500
2025-10-21,153.7899932861328,155.2899932861328,153.2100067138672,154.74000549316406,6304900
2025-10-22,155.57000732421875,155.97999572753906,153.61000061035156,154.64999389648438,6036700
2025-10-23,156.55999755859375,158.58999633789062,156.1199951171875,158.1999969482422,9810900
2025-10-24,155.55999755859375,157.6300048828125,155.42999267578125,157.4199981689453,4976000
